Source,Year,Amount
Coal ,2011,44017.29688
Coal ,2012,44184.375
Coal ,2013,44842.61719
Coal ,2014,45161.20703
Coal ,2015,44054.44141
Coal ,2016,43504.16406
Coal ,2017,43751.67578
Coal ,2018,44315.875
Coal ,2019,43699.88672
Coal ,2020,41963.96484
Coal ,2021,44473.19531
Traditional biomass,1800,5556
Traditional biomass,1810,5833
Traditional biomass,1820,6111
Traditional biomass,1830,6389
Traditional biomass,1840,6944
Traditional biomass,1850,7222
Traditional biomass,1860,6944
Traditional biomass,1870,6944
Traditional biomass,1880,6944
Traditional biomass,1890,6667
Traditional biomass,1900,6111
Traditional biomass,1910,6389
Traditional biomass,1920,6944
Traditional biomass,1930,7222
Traditional biomass,1940,7222
Traditional biomass,1950,7500
Traditional biomass,1960,8889
Traditional biomass,1965,9162
Traditional biomass,1966,9218
Traditional biomass,1967,9274
Traditional biomass,1968,9331
Traditional biomass,1969,9387
Traditional biomass,1970,9444
Traditional biomass,1971,9499
Traditional biomass,1972,9553
Traditional biomass,1973,9608
Traditional biomass,1974,9663
Traditional biomass,1975,9718
Traditional biomass,1976,9774
Traditional biomass,1977,9830
Traditional biomass,1978,9886
Traditional biomass,1979,9943
Traditional biomass,1980,10000
Traditional biomass,1981,10106
Traditional biomass,1982,10213
Traditional biomass,1983,10321
Traditional biomass,1984,10430
Traditional biomass,1985,10541
Traditional biomass,1986,10653
Traditional biomass,1987,10765
Traditional biomass,1988,10879
Traditional biomass,1989,10995
Traditional biomass,1990,11111
Traditional biomass,1991,11243
Traditional biomass,1992,11376
Traditional biomass,1993,11511
Traditional biomass,1994,11647
Traditional biomass,1995,11785
Traditional biomass,1996,11925
Traditional biomass,1997,12066
Traditional biomass,1998,12209
Traditional biomass,1999,12414
Traditional biomass,2000,12500
Traditional biomass,2001,12500
Traditional biomass,2002,12470
Traditional biomass,2003,12329
Traditional biomass,2004,12160
Traditional biomass,2005,12076
Traditional biomass,2006,11993
Traditional biomass,2007,11911
Traditional biomass,2008,11829
Traditional biomass,2009,11747
Traditional biomass,2010,11667
Traditional biomass,2011,11553
Traditional biomass,2012,11441
Traditional biomass,2013,11330
Traditional biomass,2014,11220
Traditional biomass,2015,11111
Traditional biomass,2016,11111
Traditional biomass,2017,11111
Traditional biomass,2018,11111
Traditional biomass,2019,11111
Traditional biomass,2020,11111
Traditional biomass,2021,11111
